Datum,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020-02-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-02-26,0,0,0,0,1,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10
2020-02-27,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,10
2020-02-28,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
2020-02-29,2,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,13
2020-03-01,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,11
2020-03-02,1,0,0,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,5,0,5,2,2,5,30
2020-03-03,1,0,0,3,0,1,3,0,0,1,1,1,1,0,0,0,0,0,3,0,10,0,4,0,3,1,33
2020-03-04,3,0,1,8,2,6,2,1,0,2,3,3,7,0,0,0,0,0,0,1,7,0,8,1,1,5,61
2020-03-05,2,0,0,5,3,10,1,4,0,3,0,0,1,0,0,0,0,1,1,0,14,0,11,1,0,5,62
2020-03-06,2,0,0,9,8,5,1,17,0,0,0,2,4,0,0,3,0,0,0,0,9,0,8,0,0,5,73
2020-03-07,0,0,0,0,1,5,0,6,0,1,0,0,5,0,0,0,0,0,0,0,12,0,11,1,0,7,49
2020-03-08,1,0,1,3,0,7,4,9,0,1,1,1,6,1,0,1,0,0,0,1,9,0,10,6,0,6,68
2020-03-09,3,0,1,4,3,13,3,29,1,11,1,1,3,4,0,8,0,2,2,2,48,0,36,4,0,13,192
2020-03-10,3,0,0,7,4,18,10,18,1,4,3,2,4,2,1,1,1,4,1,1,47,0,40,5,0,33,210
2020-03-11,7,0,2,16,15,40,8,33,2,12,0,3,7,0,6,8,0,1,1,1,49,0,74,7,1,40,333
